trial_id,loss,accuracy,va,iteration,rp,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.lr,config.alpha
0b62a_00000,69.42567821085454,0.5768501887545554,0.24877447897537555,100,0.053640115825199675,0.9730119705200195,True,True,,,100,b9b3550975144126b8fc1d33117b5377,2021-09-16_19-46-35,1631839595,244.57572412490845,48514,cengyuchendeMacBook-Pro.local,192.168.0.104,244.57572412490845,0,100,"0_alpha=0.059743,lr=0.001",0.001,0.059742857142857146
0b62a_00001,62.978220607439674,0.5514762853506004,0.27308511815817144,100,0.044892893448536086,0.8998599052429199,True,True,,,100,552e2d16e2be4838978a8623530241fb,2021-09-16_19-46-35,1631839595,245.18841171264648,48515,cengyuchendeMacBook-Pro.local,192.168.0.104,245.18841171264648,0,100,"1_alpha=0.11949,lr=0.001",0.001,0.11948571428571429
0b62a_00002,54.56840421259403,0.5412239194200011,0.2833374840887708,40,0.046296950726894215,1.513159990310669,True,True,,,40,9dc2b81733f74c15824f483c4af03df2,2021-09-16_19-48-23,1631839703,92.15853309631348,48646,cengyuchendeMacBook-Pro.local,192.168.0.104,92.15853309631348,0,40,"2_alpha=0.17923,lr=0.001",0.001,0.17922857142857143
0b62a_00003,47.63795374830564,0.5412239194200011,0.2833374840887708,100,0.03609828206765697,1.0139241218566895,True,True,,,100,88d5dc5336cd4772ba4f2420eb9dadff,2021-09-16_19-49-23,1631839763,152.08478713035583,48649,cengyuchendeMacBook-Pro.local,192.168.0.104,152.08478713035583,0,100,"3_alpha=0.23897,lr=0.001",0.001,0.23897142857142858
0b62a_00004,33.06042154153187,0.5412239194200011,0.2833374840887708,100,0.017956611486886986,0.9006378650665283,True,True,,,100,1d05038caaab4c0cb51e723a931f4698,2021-09-16_19-50-13,1631839813,92.05550599098206,48680,cengyuchendeMacBook-Pro.local,192.168.0.104,92.05550599098206,0,100,"4_alpha=0.35846,lr=0.001",0.001,0.35845714285714286
0b62a_00005,16.61485997041066,0.5412239194200011,0.2833374840887708,100,0.008571133288360122,1.0611729621887207,True,True,,,100,62a66c87fde84406ba1a71ff01b37295,2021-09-16_19-51-41,1631839901,120.77551102638245,48702,cengyuchendeMacBook-Pro.local,192.168.0.104,120.77551102638245,0,100,"5_alpha=0.47794,lr=0.001",0.001,0.47794285714285717
0b62a_00006,35.621439559306594,0.8070039176423038,0.06646764003978017,40,0.20196344050369758,1.1005208492279053,True,True,,,40,4ba046f36de44f14a9c6bf15ab35f643,2021-09-16_19-51-33,1631839893,52.905060052871704,48719,cengyuchendeMacBook-Pro.local,192.168.0.104,52.905060052871704,0,40,"6_alpha=0.059743,lr=0.005",0.005,0.059742857142857146
0b62a_00007,33.17090582891885,0.7793749800847594,0.08931188860210944,40,0.18590901665071025,0.763981819152832,True,True,,,40,58b35c65f2e14582af1a8c98a6e08a02,2021-09-16_19-52-47,1631839967,52.39180779457092,48771,cengyuchendeMacBook-Pro.local,192.168.0.104,52.39180779457092,0,40,"7_alpha=0.11949,lr=0.005",0.005,0.11948571428571429
0b62a_00008,33.39440410391635,0.7547545016829427,0.10648951745581337,40,0.14242970884293815,1.125035047531128,True,True,,,40,edb4134254534445a4227a72ba279f54,2021-09-16_19-52-52,1631839972,49.886178970336914,48777,cengyuchendeMacBook-Pro.local,192.168.0.104,49.886178970336914,0,40,"8_alpha=0.17923,lr=0.005",0.005,0.17922857142857143
0b62a_00009,30.58749849657217,0.7243477024939751,0.12892183498608872,40,0.12020303700040003,0.7237000465393066,True,True,,,40,261858764acd4a54ae21906c4e72447c,2021-09-16_19-53-39,1631840019,32.163021087646484,48793,cengyuchendeMacBook-Pro.local,192.168.0.104,32.163021087646484,0,40,"9_alpha=0.23897,lr=0.005",0.005,0.23897142857142858
0b62a_00010,20.94500332730305,0.5958216567132391,0.23777749267538412,40,0.08943131570341001,0.6072559356689453,True,True,,,40,bd3e9e4972f74dd0970342373cd5e236,2021-09-16_19-53-42,1631840022,32.1919219493866,48798,cengyuchendeMacBook-Pro.local,192.168.0.104,32.1919219493866,0,40,"10_alpha=0.35846,lr=0.005",0.005,0.35845714285714286
0b62a_00011,12.81967299767666,0.5412239194200011,0.2833374840887708,100,0.03554854555830389,0.7934260368347168,True,True,,,100,b31c0dc3fa114237aa4378cc06294cb7,2021-09-16_19-55-17,1631840117,85.45245599746704,48831,cengyuchendeMacBook-Pro.local,192.168.0.104,85.45245599746704,0,100,"11_alpha=0.47794,lr=0.005",0.005,0.47794285714285717
0b62a_00012,33.60106710541426,0.7109935902273607,0.15184532524313366,40,0.2689673974243764,2.129094362258911,True,True,,,40,8f2d1bbdfd2240bd8cb7019ce19f4a45,2021-09-16_19-54-23,1631840063,30.73184633255005,48838,cengyuchendeMacBook-Pro.local,192.168.0.104,30.73184633255005,0,40,"12_alpha=0.059743,lr=0.01",0.01,0.059742857142857146
0b62a_00013,29.99168757435329,0.7533585481244456,0.11692321689416157,40,0.22822296158853433,0.6356668472290039,True,True,,,40,aa8f66fc43b347baa570d62400dd7c7f,2021-09-16_19-55-15,1631840115,31.925813913345337,48843,cengyuchendeMacBook-Pro.local,192.168.0.104,31.925813913345337,0,40,"13_alpha=0.11949,lr=0.01",0.01,0.11948571428571429
0b62a_00014,26.963677800194144,0.7299562535532982,0.13926224724414993,40,0.2075686007913795,0.9194192886352539,True,True,,,40,2faf845760a447d2bb7024d975d7b79b,2021-09-16_19-56-16,1631840176,43.00189518928528,48872,cengyuchendeMacBook-Pro.local,192.168.0.104,43.00189518928528,0,40,"14_alpha=0.17923,lr=0.01",0.01,0.17922857142857143
0b62a_00015,24.63745432408818,0.6287757200093245,0.22183565691784185,40,0.20437493156976505,1.0537452697753906,True,True,,,40,6dba2b9c3cff4631a737f813e12ccb95,2021-09-16_19-56-18,1631840178,42.7981812953949,48879,cengyuchendeMacBook-Pro.local,192.168.0.104,42.7981812953949,0,40,"15_alpha=0.23897,lr=0.01",0.01,0.23897142857142858
0b62a_00016,17.12948807759521,0.6149656535469253,0.23405082704850264,40,0.12215756212122986,0.829927921295166,True,True,,,40,44f5c94fc83b4e3d8a2f8506fdaef799,2021-09-16_19-57-07,1631840227,35.57653284072876,48897,cengyuchendeMacBook-Pro.local,192.168.0.104,35.57653284072876,0,40,"16_alpha=0.35846,lr=0.01",0.01,0.35845714285714286
0b62a_00017,9.98517835142039,0.5412239194200011,0.2833374840887708,40,0.06228953548499694,0.8737459182739258,True,True,,,40,cab2326548144dd6a4298538e7a5ecb3,2021-09-16_19-57-07,1631840227,35.62777280807495,48907,cengyuchendeMacBook-Pro.local,192.168.0.104,35.62777280807495,0,40,"17_alpha=0.47794,lr=0.01",0.01,0.47794285714285717
