acc,c0,c1,c
0.7983193535963962,0.06789999999999996,0.0,0.36129999999999995
0.7984569123498043,0.06769999999999998,0.0013000000000000234,0.36178
0.7985657107322597,0.06740000000000002,0.0018000000000000238,0.36212
0.7986220245378799,0.06799999999999995,0.0032999999999999696,0.3642800000000001
0.7987495103164314,0.06789999999999996,0.0048000000000000265,0.3647800000000001
0.7987495103164314,0.07250000000000001,0.0,0.36488
0.7988712079221746,0.0676,0.005500000000000005,0.36515999999999993
0.7990176157061546,0.06730000000000003,0.006500000000000006,0.36572000000000016
0.7991347505589461,0.06720000000000004,0.007800000000000029,0.36624
0.7991347505589461,0.07609999999999995,0.0,0.36692000000000013
0.7993865677796876,0.0665,0.008900000000000019,0.3670800000000001
0.7993865677796876,0.06789999999999996,0.007699999999999985,0.36752000000000007
0.7995679442898144,0.06599999999999995,0.009699999999999986,0.3677
0.7996982046410118,0.06569999999999998,0.01050000000000001,0.36816000000000004
0.7998849055517477,0.06540000000000001,0.0121,0.3689
0.8000650551291589,0.06499999999999995,0.01319999999999999,0.36962000000000006
0.8001504473457095,0.06489999999999996,0.014100000000000001,0.3699400000000001
0.8002611028195328,0.06469999999999998,0.015000000000000013,0.37034
0.8003934924008405,0.0645,0.016199999999999992,0.3708600000000001
0.8005264441548486,0.06410000000000005,0.016699999999999993,0.37127999999999994
0.8005338960809696,0.06469999999999998,0.018000000000000016,0.37273999999999996
0.8006479584503049,0.0645,0.019000000000000017,0.3731000000000001
0.8007988714514631,0.06410000000000005,0.019699999999999995,0.37367999999999996
0.8008457821182448,0.06410000000000005,0.020399999999999974,0.3738800000000001
0.8009747601281053,0.06379999999999997,0.021199999999999997,0.3743400000000001
0.8009747601281053,0.06499999999999995,0.018899999999999972,0.37436000000000014
0.8011441300997203,0.06340000000000001,0.022199999999999998,0.37498
0.8013259268161534,0.06299999999999994,0.023399999999999976,0.37566
0.801464472687436,0.06259999999999999,0.023999999999999966,0.3761
0.8016710362556879,0.062000000000000055,0.02479999999999999,0.37686
0.8018208571120581,0.06169999999999998,0.02589999999999998,0.37744
0.8019364821277707,0.0615,0.02689999999999998,0.37786000000000003
0.8020582700802779,0.06120000000000003,0.027600000000000013,0.37829999999999997
0.8021413741943522,0.06110000000000004,0.02839999999999998,0.37872000000000006
0.802262905219451,0.060899999999999954,0.02949999999999997,0.37915999999999994
