acc,c
0.8143767782378885,0.08191236867949825
0.8143767782378885,0.08357015431606835
0.8143767782378885,0.08368776550216561
0.8143767782378885,0.08520694853551997
0.8152677338535318,0.08524310462643597
0.8152677338535318,0.08534555113873576
0.8152677338535318,0.08542897354144258
0.8152677338535318,0.08682351499182805
0.8152677338535318,0.08690089026300596
0.8152677338535318,0.08698234535818722
0.8152677338535318,0.08701850144910334
0.8152677338535318,0.08708675917801251
0.8152677338535318,0.08713662527915
0.8152677338535318,0.08842063465824351
0.8160973706105322,0.08852671252183703
0.8160973706105322,0.08853768448245736
0.8160973706105322,0.08859891181449553
0.8160973706105322,0.08867628708567332
0.8160973706105322,0.08872355339746418
0.8160973706105322,0.08875970948837997
0.8160973706105322,0.08879441091572005
0.8160973706105322,0.08881135152652736
0.8160973706105322,0.08999910668428779
0.8160973706105322,0.09015425093876567
0.8160973706105322,0.09018449815840712
0.8160973706105322,0.0901960314809106
0.8160973706105322,0.09030210934450422
0.8160973706105322,0.09031308130512494
0.8160973706105322,0.09034011985377227
0.8160973706105322,0.09041749512495006
0.8160973706105322,0.09043120513517161
0.8160973706105322,0.09045378169549279
0.8160973706105322,0.09046736122608767
0.8160973706105322,0.09046913716309718
0.8160973706105322,0.09155974931843164
0.8160973706105322,0.0917513706051809
0.8168674047505129,0.0917636498518864
0.8168674047505129,0.09177450350695526
0.8168674047505129,0.09182129237785847
0.8168674047505129,0.09192964776143309
0.8168674047505129,0.09193723952018779
0.8168674047505129,0.09195989498107432
0.8168674047505129,0.09204331738378113
0.8168674047505129,0.09204777159147987
0.8168674047505129,0.09205428934440169
0.8168674047505129,0.09206454407328324
0.8168674047505129,0.09210593138254874
0.8168674047505129,0.0921115673320631
0.8168674047505129,0.09212514686265771
0.8168674047505129,0.09214208747346475
0.8168674047505129,0.09310340089887098
0.8168674047505129,0.09332984263122546
0.8168674047505129,0.093335146141099
0.8168674047505129,0.0934214354884565
0.8168674047505129,0.09343785883416661
0.8168674047505129,0.09351571154623206
0.8168674047505129,0.09352676742784832
0.8168674047505129,0.09353904667455382
