acc,c
0.8135188043846511,2.2815083156046967e-14
0.8147913706060055,0.007723155965246975
0.8162201108629691,0.015336079940278524
0.8175006340750817,0.022839563639085736
0.818560132397963,0.03023448858009642
0.8195941017989703,0.03752181908844082
0.8207604101884811,0.04470259602476245
0.8218395675601744,0.051777931175726655
0.8227820456094272,0.058749002248206006
0.8236369194524585,0.0656170484152504
0.8244564492125188,0.07238336636742293
0.8252393342009459,0.07904930682799366
0.8259340743743524,0.0856162714948901
0.8266109135555644,0.09208571037626206
0.8272709481719126,0.09845911949007619
0.8279507354035558,0.10473803890137917
0.8285545155918348,0.11092405107376485
0.8291105922124073,0.11701877951421902
0.8296445512287375,0.1230238876928978
0.8300825583171729,0.12894107822157558
0.8305007247626703,0.1347720922764839
0.830853583180758,0.1405187092530843
0.8312620457991271,0.1461827466419871
0.8315985350162585,0.1517660601167803
0.8318889110606831,0.1572705438259588
0.8321332180581634,0.16269813088248714
0.8323651246338637,0.16805079404576934
0.8325923168511778,0.17333054659198527
0.8327564555282512,0.17853944336986016
0.8328857890747168,0.18367958204000417
0.8329976251805157,0.18875310449696853
0.8330599478457543,0.19376219847415732
0.8331123906758793,0.1987090993326852
0.8331395994777586,0.20359609203620666
0.8331426637279392,0.20581894641744108
0.8331426637279392,1.0
