trial_id,loss,accuracy,va,iteration,rp,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.lr,config.penalty
2f90c_00000,34.03425735897488,0.8493920972644378,0.012512664640324245,50,0.08424100496692033,3.4306509494781494,True,True,,,50,ee4f36a830e74ff59937b685164a172c,2021-09-16_22-15-51,1631848551,143.53333282470703,52275,cengyuchendeMacBook-Pro.local,192.168.0.104,143.53333282470703,0,50,"0_lr=0.001,penalty=0.01",0.001,0.01
2f90c_00001,34.049057155185274,0.8493920972644378,0.012512664640324245,20,0.08478359803604574,2.122373104095459,True,True,,,20,bb27dcda86b64c918df29c4456f39be9,2021-09-16_22-16-56,1631848616,49.34264588356018,52320,cengyuchendeMacBook-Pro.local,192.168.0.104,49.34264588356018,0,20,"1_lr=0.005,penalty=0.01",0.005,0.01
2f90c_00002,34.183935991923015,0.8541540020263425,0.01727456940222899,20,0.0862754838888391,2.9217529296875,True,True,,,20,30400b0f4e2047ef95227989f578cf49,2021-09-16_22-18-13,1631848693,63.06453895568848,52347,cengyuchendeMacBook-Pro.local,192.168.0.104,63.06453895568848,0,20,"2_lr=0.01,penalty=0.01",0.01,0.01
2f90c_00003,34.03054383595784,0.8493920972644378,0.012512664640324245,50,0.08413501457332911,2.2236368656158447,True,True,,,50,dc48add3a6654847a3f532dcbabb5e2e,2021-09-16_22-20-25,1631848825,115.50205969810486,52391,cengyuchendeMacBook-Pro.local,192.168.0.104,115.50205969810486,0,50,"3_lr=0.001,penalty=0.05",0.001,0.05
2f90c_00004,34.04866000281441,0.8493920972644378,0.012512664640324245,20,0.08499380536424611,2.090764045715332,True,True,,,20,510d3d7af2d44d479bd53e92ffd8d103,2021-09-16_22-22-07,1631848927,89.35106801986694,52437,cengyuchendeMacBook-Pro.local,192.168.0.104,89.35106801986694,0,20,"4_lr=0.005,penalty=0.05",0.005,0.05
2f90c_00005,34.18756864335802,0.8541540020263425,0.01727456940222899,20,0.08593512074587811,2.2649691104888916,True,True,,,20,67af2652f78243d09221fb03e1085abd,2021-09-16_22-23-10,1631848990,49.5532660484314,52468,cengyuchendeMacBook-Pro.local,192.168.0.104,49.5532660484314,0,20,"5_lr=0.01,penalty=0.05",0.01,0.05
2f90c_00006,34.03088224199083,0.8493920972644378,0.012512664640324245,50,0.08413764298718945,5.037746906280518,True,True,,,50,3ccdb0043fc64638a8d1da234ec3f359,2021-09-16_22-27-00,1631849220,198.48356199264526,52490,cengyuchendeMacBook-Pro.local,192.168.0.104,198.48356199264526,0,50,"6_lr=0.001,penalty=0.1",0.001,0.1
2f90c_00007,34.05521827273898,0.8493920972644378,0.012512664640324245,20,0.08485207950635959,2.55587100982666,True,True,,,20,df5134b83d51463f9563a1a9a19ab249,2021-09-16_22-28-22,1631849302,64.75488805770874,52560,cengyuchendeMacBook-Pro.local,192.168.0.104,64.75488805770874,0,20,"7_lr=0.005,penalty=0.1",0.005,0.1
2f90c_00008,34.179931004842125,0.8577001013171226,0.013728470111448843,20,0.08491415827277493,2.3259918689727783,True,True,,,20,b8ffea553ee346c3aaa85ccc88268584,2021-09-16_22-29-31,1631849371,52.51512289047241,52597,cengyuchendeMacBook-Pro.local,192.168.0.104,52.51512289047241,0,20,"8_lr=0.01,penalty=0.1",0.01,0.1
2f90c_00009,34.0315215004815,0.8529381965552179,0.008966565349544098,50,0.08438998779882095,2.538029909133911,True,True,,,50,d77f5161b1df42edab93c3e1b4e40d1b,2021-09-16_22-32-30,1631849550,165.28130197525024,52626,cengyuchendeMacBook-Pro.local,192.168.0.104,165.28130197525024,0,50,"9_lr=0.001,penalty=0.5",0.001,0.5
2f90c_00010,34.062985038757326,0.8529381965552179,0.008966565349544098,20,0.08495945119494319,2.4398958683013916,True,True,,,20,d7b08037cf974e9da3bec4d0490acd6a,2021-09-16_22-33-39,1631849619,54.0686469078064,52694,cengyuchendeMacBook-Pro.local,192.168.0.104,54.0686469078064,0,20,"10_lr=0.005,penalty=0.5",0.005,0.5
2f90c_00011,34.179478306240505,0.8577001013171226,0.013728470111448843,20,0.08618862807407235,2.78011417388916,True,True,,,20,e4efed59aba1406db2b958743372c934,2021-09-16_22-35-00,1631849700,64.44996404647827,52719,cengyuchendeMacBook-Pro.local,192.168.0.104,64.44996404647827,0,20,"11_lr=0.01,penalty=0.5",0.01,0.5
2f90c_00012,34.19252588484022,0.8541540020263425,0.01727456940222899,20,0.07880591766403,4.0986528396606445,True,True,,,20,a05381cbc3614a47ad612ffab733521e,2021-09-16_22-36-44,1631849804,87.87462091445923,52750,cengyuchendeMacBook-Pro.local,192.168.0.104,87.87462091445923,0,20,"12_lr=0.001,penalty=1",0.001,1.0
2f90c_00013,34.05384849972195,0.8529381965552179,0.008966565349544098,20,0.08520880242868156,2.3933768272399902,True,True,,,20,dd7fd6735cc5458a828bd3634cadf02b,2021-09-16_22-38-26,1631849906,86.98376178741455,52782,cengyuchendeMacBook-Pro.local,192.168.0.104,86.98376178741455,0,20,"13_lr=0.005,penalty=1",0.005,1.0
2f90c_00014,34.17969646453857,0.8577001013171226,0.013728470111448843,20,0.084952366364348,2.1903140544891357,True,True,,,20,76c4609032ae48ba89f1fe241c9fd65e,2021-09-16_22-39-33,1631849973,52.69047403335571,52839,cengyuchendeMacBook-Pro.local,192.168.0.104,52.69047403335571,0,20,"14_lr=0.01,penalty=1",0.01,1.0
2f90c_00015,34.03319057888455,0.8529381965552179,0.008966565349544098,50,0.08146597827664881,3.1240756511688232,True,True,,,50,a44275e85ba640a69bbc7bce78cde8a2,2021-09-16_22-41-54,1631850114,129.17635774612427,52856,cengyuchendeMacBook-Pro.local,192.168.0.104,129.17635774612427,0,50,"15_lr=0.001,penalty=2",0.001,2.0
2f90c_00016,34.04953180948893,0.8529381965552179,0.008966565349544098,20,0.08374398212196738,11.50783896446228,True,True,,,20,08071b0f84554804a8de3ebe9f8c93ee,2021-09-16_22-44-06,1631850246,113.39210486412048,52909,cengyuchendeMacBook-Pro.local,192.168.0.104,113.39210486412048,0,20,"16_lr=0.005,penalty=2",0.005,2.0
2f90c_00017,34.17983235253228,0.8577001013171226,0.013728470111448843,20,0.0835990099956328,2.5306220054626465,True,True,,,20,11dc2260a5a342a8aca9b3dd82ebd7f1,2021-09-16_22-45-28,1631850328,59.5336697101593,52957,cengyuchendeMacBook-Pro.local,192.168.0.104,59.5336697101593,0,20,"17_lr=0.01,penalty=2",0.01,2.0
2f90c_00018,34.02409013112386,0.8493920972644378,0.012512664640324245,50,0.07731930120322539,2.317595958709717,True,True,,,50,a13becbe379a456590e88cb15a02c1e9,2021-09-16_22-48-21,1631850501,156.88267612457275,52999,cengyuchendeMacBook-Pro.local,192.168.0.104,156.88267612457275,0,50,"18_lr=0.001,penalty=5",0.001,5.0
2f90c_00019,34.048651186625165,0.8493920972644378,0.012512664640324245,20,0.0809752809872668,2.2212321758270264,True,True,,,20,97da5b993dff40bc86858702218869af,2021-09-16_22-49-20,1631850560,44.905972957611084,53069,cengyuchendeMacBook-Pro.local,192.168.0.104,44.905972957611084,0,20,"19_lr=0.005,penalty=5",0.005,5.0
2f90c_00020,34.179661517673075,0.8577001013171226,0.013728470111448843,20,0.07858255293084404,2.358018159866333,True,True,,,20,e9d2258bdd024d9f897b0cc0df518a92,2021-09-16_22-51-09,1631850669,96.1613700389862,53091,cengyuchendeMacBook-Pro.local,192.168.0.104,96.1613700389862,0,20,"20_lr=0.01,penalty=5",0.01,5.0
