trial_id,loss,accuracy,va,iteration,rp,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.lr,config.alpha,config.ratio
10ef8_00000,35.14107652651921,0.8691870556804975,0.006411030443904453,10,0.17611972144800342,4.1524059772491455,True,True,,,10,a185a3ced0d441f1a76e364b4ddcf411,2021-09-16_19-06-55,1631837215,34.67560601234436,47475,cengyuchendeMacBook-Pro.local,192.168.0.104,34.67560601234436,0,10,"0_alpha=0.001,lr=0.001,ratio=(10, 30)",0.001,0.001,"(10, 30)"
10ef8_00001,32.23565123640721,0.8733872847686561,0.0011475371345867624,10,0.1947713390983805,5.129576921463013,True,True,,,10,9d4c52703cd9482d8ca4a34136a7b634,2021-09-16_19-07-41,1631837261,37.716500997543335,47474,cengyuchendeMacBook-Pro.local,192.168.0.104,37.716500997543335,0,10,"1_alpha=0.05,lr=0.001,ratio=(10, 30)",0.001,0.05,"(10, 30)"
10ef8_00002,30.63575967634041,0.8664179986818207,0.0075851911108427705,10,0.19908687999004737,2.8754169940948486,True,True,,,10,a147b959d97540c5af72cf1330b60ac7,2021-09-16_19-09-17,1631837357,79.77407002449036,47476,cengyuchendeMacBook-Pro.local,192.168.0.104,79.77407002449036,0,10,"2_alpha=0.08,lr=0.001,ratio=(10, 30)",0.001,0.08,"(10, 30)"
10ef8_00003,29.955882604018583,0.8104243078300857,0.06357888196257777,10,0.22000096176008482,3.1450769901275635,True,True,,,10,607abe1fbef246d49d0e38f5e33dc95f,2021-09-16_19-10-04,1631837404,38.382980823516846,47477,cengyuchendeMacBook-Pro.local,192.168.0.104,38.382980823516846,0,10,"3_alpha=0.1,lr=0.001,ratio=(10, 30)",0.001,0.1,"(10, 30)"
10ef8_00004,24.63036764393619,0.7263633344905136,0.13488068464824238,10,0.20542453108606573,8.280596017837524,True,True,,,10,b1669e0151664132bad636fe04c6be28,2021-09-16_19-11-30,1631837490,76.1882381439209,47580,cengyuchendeMacBook-Pro.local,192.168.0.104,76.1882381439209,0,10,"4_alpha=0.2,lr=0.001,ratio=(10, 30)",0.001,0.2,"(10, 30)"
10ef8_00005,11.867327075607834,0.5647723289679125,0.2635104993149157,10,0.07666629497632538,3.3478100299835205,True,True,,,10,22374859d059489eb6c61ca59373caf5,2021-09-16_19-12-11,1631837531,27.98366403579712,47611,cengyuchendeMacBook-Pro.local,192.168.0.104,27.98366403579712,0,10,"5_alpha=0.5,lr=0.001,ratio=(10, 30)",0.001,0.5,"(10, 30)"
10ef8_00006,2.8834449178826955,0.5412239194200011,0.2833374840887708,10,0.012534803561256136,2.6581180095672607,True,True,,,10,47ba79f4d9624910b10eecbc6595257f,2021-09-16_19-13-02,1631837582,39.27231407165527,47631,cengyuchendeMacBook-Pro.local,192.168.0.104,39.27231407165527,0,10,"6_alpha=1,lr=0.001,ratio=(10, 30)",0.001,1.0,"(10, 30)"
10ef8_00007,441.6217164988033,0.49924259194971465,0.24451073075097648,5,1.267936935395248,3.1679463386535645,True,True,,,5,7afb7df73c3a4fbf8ea11e8bb78ad426,2021-09-16_19-13-25,1631837605,13.424147129058838,47668,cengyuchendeMacBook-Pro.local,192.168.0.104,13.424147129058838,0,5,"7_alpha=2,lr=0.001,ratio=(10, 30)",0.001,2.0,"(10, 30)"
10ef8_00008,34.11386666435954,0.86235507993768,0.013774638297301411,5,0.11936665800347296,2.9285998344421387,True,True,,,5,b2a7db683a424c95bd20286829bc48dc,2021-09-16_19-13-53,1631837633,17.621761083602905,47678,cengyuchendeMacBook-Pro.local,192.168.0.104,17.621761083602905,0,5,"8_alpha=0.001,lr=0.005,ratio=(10, 30)",0.005,0.001,"(10, 30)"
10ef8_00009,32.90685740515606,0.8620892638823903,0.013508822242011664,5,0.1270438900294612,2.5645439624786377,True,True,,,5,52304bef898f46959a935e105284b0fe,2021-09-16_19-14-16,1631837656,13.067280054092407,47683,cengyuchendeMacBook-Pro.local,192.168.0.104,13.067280054092407,0,5,"9_alpha=0.05,lr=0.005,ratio=(10, 30)",0.005,0.05,"(10, 30)"
10ef8_00010,32.17492327542509,0.8635468498701107,0.014177764696609085,5,0.12695108775920982,2.4765801429748535,True,True,,,5,236d3cabecc04af588e46a1c8917ba14,2021-09-16_19-14-37,1631837677,12.528339862823486,47705,cengyuchendeMacBook-Pro.local,192.168.0.104,12.528339862823486,0,5,"10_alpha=0.08,lr=0.005,ratio=(10, 30)",0.005,0.08,"(10, 30)"
10ef8_00011,31.719704935102687,0.8599715400728185,0.012968385498686064,5,0.1293538055292099,2.4391210079193115,True,True,,,5,e14d5f45738241a09332c1c410fb7ebc,2021-09-16_19-14-57,1631837697,12.06430983543396,47714,cengyuchendeMacBook-Pro.local,192.168.0.104,12.06430983543396,0,5,"11_alpha=0.1,lr=0.005,ratio=(10, 30)",0.005,0.1,"(10, 30)"
10ef8_00012,26.18599640226115,0.8506187141211216,0.018599786676326557,10,0.15783465183673456,2.50570011138916,True,True,,,10,694e6435ca18407586d638627f46efe4,2021-09-16_19-15-33,1631837733,27.198939323425293,47717,cengyuchendeMacBook-Pro.local,192.168.0.104,27.198939323425293,0,10,"12_alpha=0.2,lr=0.005,ratio=(10, 30)",0.005,0.2,"(10, 30)"
10ef8_00013,12.680982034682126,0.6137967337328121,0.2139544624394367,10,0.13810758045133265,2.5792958736419678,True,True,,,10,4b778a7b6e3843f8a224a69d876ee70d,2021-09-16_19-16-10,1631837770,25.434439182281494,47730,cengyuchendeMacBook-Pro.local,192.168.0.104,25.434439182281494,0,10,"13_alpha=0.5,lr=0.005,ratio=(10, 30)",0.005,0.5,"(10, 30)"
10ef8_00014,3.2771128974249364,0.5412239194200011,0.2833374840887708,10,0.023877068693737735,2.4336256980895996,True,True,,,10,8f07f7eac9504748a3b063aba1a40897,2021-09-16_19-16-44,1631837804,24.595248699188232,47753,cengyuchendeMacBook-Pro.local,192.168.0.104,24.595248699188232,0,10,"14_alpha=1,lr=0.005,ratio=(10, 30)",0.005,1.0,"(10, 30)"
10ef8_00015,0.10545676939106112,0.5412239194200011,0.2833374840887708,10,0.0005235374208255594,14.061960935592651,True,True,,,10,1895cda339d04b748e08fdac450272be,2021-09-16_19-18-08,1631837888,75.01374006271362,47759,cengyuchendeMacBook-Pro.local,192.168.0.104,75.01374006271362,0,10,"15_alpha=2,lr=0.005,ratio=(10, 30)",0.005,2.0,"(10, 30)"
10ef8_00016,33.97745544871461,0.8544774492391959,0.02324716532752391,5,0.07769714706257863,2.6805009841918945,True,True,,,5,f7345eceb68a436cbaf13ad0e3ba0a0f,2021-09-16_19-18-55,1631837935,21.99220585823059,47787,cengyuchendeMacBook-Pro.local,192.168.0.104,21.99220585823059,0,5,"16_alpha=0.001,lr=0.01,ratio=(10, 30)",0.01,0.001,"(10, 30)"
10ef8_00017,32.99401078992524,0.8522312197183524,0.02336686640604957,5,0.0962716083044462,2.691148042678833,True,True,,,5,3c03b10600074ca295c05b97b7b7a509,2021-09-16_19-19-18,1631837958,14.017621994018555,47802,cengyuchendeMacBook-Pro.local,192.168.0.104,14.017621994018555,0,5,"17_alpha=0.05,lr=0.01,ratio=(10, 30)",0.01,0.05,"(10, 30)"
10ef8_00018,32.351957651871366,0.8555231041948625,0.021138246150698425,5,0.08127076111099069,3.0020978450775146,True,True,,,5,d615940c11d24753ab94b7d0b631f325,2021-09-16_19-19-50,1631837990,20.606043815612793,47823,cengyuchendeMacBook-Pro.local,192.168.0.104,20.606043815612793,0,5,"18_alpha=0.08,lr=0.01,ratio=(10, 30)",0.01,0.08,"(10, 30)"
10ef8_00019,32.00753930399495,0.8601264596823288,0.017066522773811488,5,0.10233739713826268,2.682427167892456,True,True,,,5,32160dae21ff47ef979088c59fd7d654,2021-09-16_19-20-12,1631838012,13.579055309295654,47834,cengyuchendeMacBook-Pro.local,192.168.0.104,13.579055309295654,0,5,"19_alpha=0.1,lr=0.01,ratio=(10, 30)",0.01,0.1,"(10, 30)"
10ef8_00020,28.59544301507409,0.8507736337306319,0.022697923951452093,5,0.19548755713866406,2.9048869609832764,True,True,,,5,b6d41b45077b46ff93ae4b11371be5e6,2021-09-16_19-20-38,1631838038,15.397605180740356,47854,cengyuchendeMacBook-Pro.local,192.168.0.104,15.397605180740356,0,5,"20_alpha=0.2,lr=0.01,ratio=(10, 30)",0.01,0.2,"(10, 30)"
